,story_id,person,aliases,label,subject_sentences,is_dialogue,count_lexicon,is_subject,is_object,subject_sentences_stem
844,16,Tokoh-1,"['ibu tador', 'ibunya', 'ibumu', 'ibu']",antagonist,"Ayah dan ibu tidak ingin melihat kau bertambah sakit.""",1,1,0,0,ayah kau tambah sakit
667,15,Tokoh-4,"['ayahanda raja', 'ayahandanya', 'ayahanda', 'ayah']",antagonist,"Aku takut ayahanda akan melupakan aku, tapi lebih takut lagi jika aku harus hidup tanpa cintamu.""",1,4,1,0,takut ayahanda lupa takut hidup cinta
668,15,Tokoh-4,"['ayahanda raja', 'ayahandanya', 'ayahanda', 'ayah']",antagonist,"Ia merasa kehilangan tidak hanya sebagai seorang ayah, tetapi juga sebagai seorang raja yang martabat kerajaannya tercoreng oleh tindakan puterinya.",0,-1,0,0,hilang ayah raja martabat raja coreng tindak puter
669,15,Tokoh-4,"['ayahanda raja', 'ayahandanya', 'ayahanda', 'ayah']",antagonist,"""Saya memilih hidup bersama Hatoban, ayahanda,"" kata Sri Pandan dengan penuh keyakinan.",1,-1,0,0,pilih hidup hatoban ayahanda sri pandan penuh yakin
670,15,Tokoh-4,"['ayahanda raja', 'ayahandanya', 'ayahanda', 'ayah']",antagonist,"Ini adalah jalan kami, dan saya berharap ayahanda dapat memahami keputusan saya.""",1,1,1,0,jalan harap ayahanda paham putus
674,15,Tokoh-7,['simargolang'],antagonist,"Alkisah, pada beberapa abad yang lalu, di sebuah kampung kecil Teluk Dalam, tinggal seorang lelaki bernama Simargolang.",0,1,0,1,alkisah abad kampung teluk tinggal lelaki nama simargolang
675,15,Tokoh-7,['simargolang'],antagonist,"Di tengah-tengah pergaulan masyarakatnya, Simargolang sangat disenangi, tidak hanya karena budi pekertinya yang baik, tetapi juga karena ia memiliki ilmu pendekar.",0,3,1,0,gaul masyarakat simargolang nang budi pekerti milik ilmu pendekar
676,15,Tokoh-7,['simargolang'],antagonist,Kehidupan kekeluargaannya yang rukun dan sifat-sifat suka menolong orang lain mendorong orang-orang di kampung itu mengusulkan agar Simargolang bersedia menjadi pimpinan mereka.,0,4,1,0,hidup keluarga rukun sifat sifat suka tolong orang dorong orang orang kampung usul simargolang sedia pimpin
677,15,Tokoh-7,['simargolang'],antagonist,"Terimalah amanah ini, amanah kami semua,"" salah seorang orang tua utusan itu meyakinkan Simargolang.",1,0,0,1,terima amanah amanah salah orang tua utus simargolang
678,15,Tokoh-7,['simargolang'],antagonist,"Simargolang dinobatkan jadi raja, penduduk memanggilnya dengan Raja, dan rakyatnya hidup makmur.",0,2,1,0,simargolang nobat raja duduk panggil raja rakyat hidup makmur
679,15,Tokoh-7,['simargolang'],antagonist,"Demikianlah, pada suatu hari, dalam memimpin masyarakatnya, sang Permaisuri melahirkan seorang puteri yang cantik, dan oleh Raja Simargolang, puterinya diberi nama Sri Pandan.",0,3,0,0,pimpin masyarakat sang permaisuri lahir puter cantik raja simargolang puter nama sri pandan
666,15,Tokoh-4,"['ayahanda raja', 'ayahandanya', 'ayahanda', 'ayah']",antagonist,"""Kekasihku, kau dengarkah apa yang telah terjadi antara aku dengan ayahanda raja?""",1,1,0,1,kasih kau dengar ayahanda raja
680,15,Tokoh-7,['simargolang'],antagonist,"Puteri Raja Simargolang adalah puteri tercantik di kawasan itu, dan wajarlah bila sang raja mengharapkan puterinya akan dipersunting oleh Putera Mahkota dari daerah lain.",0,0,0,0,puter raja simargolang puter cantik kawasan wajar sang raja harap puter sunting putera mahkota daerah
682,15,Tokoh-7,['simargolang'],antagonist,"Raja Simargolang yang arif dan bijaksana walau lamaran sudah bersedia dinikahkan, utusan akan dikirim ke negeri Aceh memberitahukan.",0,5,0,0,raja simargolang arif bijaksana lamar sedia nikah utus kirim negeri aceh memberitahukan
